"Name","Metabolite description","Neutral metabolite formula","Charged metab. formula","Metab. charge","Compartment","KeggID","PubChem ID","CheBI ID","Inchi string","Smiles"
"nadh","NADH","C21H29N7O14P2","C21H29N7O14P2",,,"C00004",3306,16908,,
"nad","NAD+","C21H28N7O14P2","C21H28N7O14P2",,,"C00003",3305,15846,,
"o2","O2","O2","O2",,,"C00007",3309,15379,,
"h2o","H2O","H2O","H2O",,,"C00001",3303,15377,,
"pi","Phosphate","H3PO4","H3PO4",,,"C00009",3311,18367,,
"ppi","Pyrophosphate","P2H4O7","P2H4O7",,,"C00013",3315,"18361 29888",,
"adp[c]","ADP","C10H15N5O10P2","C10H12N5O10P2",-3,"cytosol","C00008 ",3310,16761,"1/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19,21H,11H2","Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"
"atp[c]","ATP","C10H16N5O13P3","C10H12N5O13P3",-4,"cytosol","C00002                      ",3304,15422,"1/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19,21,23H,11H2","Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"
"nadp","NADP+","C21H29N7O17P3","C21H29N7O17P3",,,"C00006",3308,18009,,
"nadph","NADPH","C21H30N7O17P3","C21H30N7O17P3",,,"C00005",3307,16474,,
"h[c]","H+","H","H",1,"cytosol","C00080",3380,15378,"1/p+1/fH/q+1","[H+]"
"glc","Glucose","C6H12O6","C6H12O6",,,"C00031",3333,4167,,
"aglc","alpha-Glucose","C6H12O6","C6H12O6",0,,"C00267",3565,17925,,
"bglc","beta-Glucose","C6H12O6","C6H12O6",0,"cytosol","C00221",3521,15903,"1/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1","OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O"
"g1p","glucose 1-phosphate (alpha-glucose-1-phosphate)","C6H13O9P","C6H13O9P",,,"C00103",3403,16077,,
"g6p","glucose 6-phosphate","C6H13O9P",,,,"C00092",3392,4170,,
"ag6p","alpha-glucose-6-phosphate","C6H13O9P","C6H13O9P",-2,"cytosol","C00668",3937,17665,"1/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6?/m1/s1/f/h11-12H","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O"
"bg6p","beta-glucose 6-phosphate","C6H13O9P","C6H13O9P",,,"C01172",4399,17719,,
"f6p","beta-fructose-6-phosphate","C6H13O9P",,,,"C00085",3385,15946,,
"f16p","beta-Fructose 1,6-bisphosphate","C6H14O12P2","C6H14O12P2",,,"C05378",7752,28013,,
"g3p","Glyceraldehyde 3P","C3H7O6P","C3H7O6P",,,"C00118",3418,29052,,
"gp","Glycerone-P","C3H7O6P","C3H7O6P",,,"C00111",3411,16108,,
"3pgPi","3-Phospho-D-glyceroyl phosphate (glycerate-1,3P)","C3H8O10P2","C3H8O10P2",,,"C00236",3535,16001,,
"gly3p","Glycerate 3P (3-Phospho-D-glycerate) ","C3H7O7P","C3H7O7P",,,"C00197",3497,17794,,
"gly2p","Glycerate 2P (2-Phospho-D-glycerate)","C3H7O7P","C3H7O7P",,,"C00631",3904,17835,,
"pep","Phosphoenolpyruvate","C3H5O6P","C3H5O6P",,,"C00074",3374,"18021 44897",,
"pyr","Pyruvate","C3H4O3","C3H4O3",-1,"cytosol","C00022",3324,32816,"1/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/f/h5H","CC(=O)C(O)=O"
"hThPP","2-Hydroxy-ethyl-ThPP (2-(alpha-Hydroxyethyl)thiamine diphosphate)","C14H23N4O8P2S","C14H23N4O8P2S",,,"C05125",7546,978,,
"thpp","ThPP","C12H19N4O7P2S","C12H19N4O7P2S",,,"C00068",3368,9532,,
"aclipoE","S-Acetyl-dihydrolipoamide-E","C10H18NO2S2R","C10H18NO2S2R",,,"C16255",47205563,,,
"lipoE","Lipoamide-E","C8H14NOS2R","C8H14NOS2R",,,"C15972",47205285,,,
"dilipoE","Dihydrolipoamide-E","C8H16NOS2R","C8H16NOS2R",,,"C15973",47205286,,,
"acca","Acetyl CoA","C23H38N7O17P3S","C23H38N7O17P3S",,,"C0024",3326,15351,,
"acet","Acetate","C2H4O2","C2H4O2",,,"C00033",3335,15366,,
"oxaloacet","Oxaloacetate","C4H4O5","C4H4O5",,,"C00036",3338,30744,,
"acetyde","Acetaldehyde","C2H4O","C2H4O",,,"C00084",3384,15343,,
"ald","aldehyde","CHOR","CHOR",,,"C00071",3371,17478,,
"cooh","carboxylate","CO2R","CO2R",,,"C00060",3360,35757,,
"roh","alcohol","HOR","HOR",,,"C00069",3369,30879,,
"etoh","Ethanol","C2H6O","C2H6O",,,"C00469",3752,16236,,
"p6gluc","6-Phospho-D-gluconate","C6H15O10P","C6H15O10P",,,"C00345",3638,48928,,
"ru5p","Ribulose-5P","C5H11O8P","C5H11O8P",,,"C00199",3499,17363,,
"r5p","Ribose-5P","C5H11O8P","C5H11O8P",,,"C00117",3417,17797,,
"xu5p","Xylulose-5P",,,,,,,,,
"prpp","PRPP (5-phosphoribosyl diphosphate)","C5H13O14P3","C5H13O14P3",,,"C00119",3419,17111,,
