"Pathway ID","Pathway Name","KEGG ID"
"0","Glycolysis / Gluconeogenesis","map00010"
"1","Citrate cycle (TCA cycle)","map00020"
"2","Pentose phosphate pathway","map00030"
"3","Pentose and glucuronate interconversions","map00040"
"4","Fructose and mannose metabolism","map00051"
"5","Galactose metabolism","map00052"
"6","Ascorbate and aldarate metabolism","map00053"
"7","Fatty acid biosynthesis","map00061"
"8","Fatty acid elongation","map00062"
"9","Fatty acid degradation","map00071"
"10","Synthesis and degradation of ketone bodies","map00072"
"11","Cutin, suberine and wax biosynthesis","map00073"
"12","Steroid biosynthesis","map00100"
"13","Primary bile acid biosynthesis","map00120"
"14","Secondary bile acid biosynthesis","map00121"
"15","Ubiquinone and other terpenoid-quinone biosynthesis","map00130"
"16","Steroid hormone biosynthesis","map00140"
"17","Oxidative phosphorylation","map00190"
"18","Photosynthesis","map00195"
"19","Photosynthesis - antenna proteins","map00196"
"20","Purine metabolism","map00230"
"21","Puromycin biosynthesis","map00231"
"22","Caffeine metabolism","map00232"
"23","Pyrimidine metabolism","map00240"
"24","Alanine, aspartate and glutamate metabolism","map00250"
"25","Tetracycline biosynthesis","map00253"
"26","Aflatoxin biosynthesis","map00254"
"27","Glycine, serine and threonine metabolism","map00260"
"28","Cysteine and methionine metabolism","map00270"
"29","Valine, leucine and isoleucine degradation","map00280"
"30","Geraniol degradation","map00281"
"31","Valine, leucine and isoleucine biosynthesis","map00290"
"32","Lysine biosynthesis","map00300"
"33","Lysine degradation","map00310"
"34","Penicillin and cephalosporin biosynthesis","map00311"
"35","Arginine and proline metabolism","map00330"
"36","Clavulanic acid biosynthesis","map00331"
"37","Carbapenem biosynthesis","map00332"
"38","Histidine metabolism","map00340"
"39","Tyrosine metabolism","map00350"
"40","DDT degradation","map00351"
"41","Phenylalanine metabolism","map00360"
"42","Chlorocyclohexane and chlorobenzene degradation","map00361"
"43","Benzoate degradation","map00362"
"44","Bisphenol degradation","map00363"
"45","Fluorobenzoate degradation","map00364"
"46","Furfural degradation","map00365"
"47","Tryptophan metabolism","map00380"
"48","Phenylalanine, tyrosine and tryptophan biosynthesis","map00400"
"49","Novobiocin biosynthesis","map00401"
"50","Benzoxazinoid biosynthesis","map00402"
"51","Indole diterpene alkaloid biosynthesis","map00403"
"52","beta-Alanine metabolism","map00410"
"53","Taurine and hypotaurine metabolism","map00430"
"54","Phosphonate and phosphinate metabolism","map00440"
"55","Selenocompound metabolism","map00450"
"56","Cyanoamino acid metabolism","map00460"
"57","D-Glutamine and D-glutamate metabolism","map00471"
"58","D-Arginine and D-ornithine metabolism","map00472"
"59","D-Alanine metabolism","map00473"
"60","Glutathione metabolism","map00480"
"61","Starch and sucrose metabolism","map00500"
"62","N-Glycan biosynthesis","map00510"
"63","Other glycan degradation","map00511"
"64","Mucin type O-Glycan biosynthesis","map00512"
"65","Various types of N-glycan biosynthesis","map00513"
"66","Other types of O-glycan biosynthesis","map00514"
"67","Amino sugar and nucleotide sugar metabolism","map00520"
"68","Streptomycin biosynthesis","map00521"
"69","Biosynthesis of 12-, 14- and 16-membered macrolides","map00522"
"70","Polyketide sugar unit biosynthesis","map00523"
"71","Butirosin and neomycin biosynthesis","map00524"
"72","Glycosaminoglycan degradation","map00531"
"73","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","map00532"
"74","Glycosaminoglycan biosynthesis - keratan sulfate","map00533"
"75","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","map00534"
"76","Lipopolysaccharide biosynthesis","map00540"
"77","Peptidoglycan biosynthesis","map00550"
"78","Glycerolipid metabolism","map00561"
"79","Inositol phosphate metabolism","map00562"
"80","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","map00563"
"81","Glycerophospholipid metabolism","map00564"
"82","Ether lipid metabolism","map00565"
"83","Arachidonic acid metabolism","map00590"
"84","Linoleic acid metabolism","map00591"
"85","alpha-Linolenic acid metabolism","map00592"
"86","Sphingolipid metabolism","map00600"
"87","Glycosphingolipid biosynthesis - lacto and neolacto series","map00601"
"88","Glycosphingolipid biosynthesis - globo series","map00603"
